date,DepN,DepSO4
1992.06,1.149,1.839
1992.07,1.377,2.003
1992.08,1.2915,2.5265
1992.09,0.999,2.017
1992.1,0.8935,0.825
1992.11,1.3145,0.956
1992.12,1.953,1.292
1993.01,1.309,0.901
1993.02,1.4,0.4515
1993.03,1.6405,0.863
1993.04,1.3755,1.626
1993.05,1.815,2.2375
1993.06,1.6065,2.4135
1993.07,1.703,2.3935
1993.08,1.749,3.8825
1993.09,1.628,2.819
1993.1,1.2805,1.687
1993.11,1.882,1.137
1993.12,1.693,0.6385
1994.01,1.584,0.447
1994.02,5.23,1.45
1994.03,1.1445,0.6085
1994.04,2.519,2.5255
1994.05,1.6155,1.6205
1994.06,1.824,2.907
1994.07,2.171,3.4755
1994.08,0.999,1.745
1994.09,1.447,1.9865
1994.1,1.244,1.2855
1994.11,0.9365,0.7895
1994.12,1.125,0.727
1995.01,1.777,0.792
1995.02,2.253,0.952
1995.03,2.0705,1.394
1995.04,1.87,1.293
1995.05,2.0685,1.9165
1995.06,2.1415,2.3065
1995.07,1.5255,2.2385
1995.08,1.999,2.348
1995.09,1.285,1.6055
1995.1,0.551,0.498
1995.11,1.23,0.7485
1995.12,1.453,0.695
1996.01,0.643,0.342
1996.02,2.1895,1.627
1996.03,2.1095,0.996
1996.04,1.5995,1.478
1996.05,1.3705,1.2055
1996.06,1.3415,1.5345
1996.07,0.8585,0.9475
1996.08,1.79,2.276
1996.09,1.327,1.4645
1996.1,1.298,0.964
1996.11,0.5465,0.418
1996.12,1.8775,0.9405
1997.01,1.8775,0.9785
1997.02,1.341,1.158
1997.03,1.815,0.97
1997.04,1.1985,1.029
1997.05,1.548,1.636
1997.06,1.6685,1.8255
1997.07,2.0755,2.713
1997.08,1.117,1.7975
1997.09,1.335,1.675
1997.1,1.1,1.091
1997.11,1.4315,0.812
1997.12,1.2215,0.6705
1998.01,1.429,1.2805
1998.02,0.5425,0.3305
1998.03,1.7725,0.901
1998.04,1.3925,1.345
1998.05,1.672,1.6825
1998.06,1.172,1.2555
1998.07,1.3425,1.6645
1998.08,1.358,1.937
1998.09,2.0235,3.14
1998.1,1.787,1.417
1998.11,2.498,1.327
1998.12,1.67,1.332
1999.01,1.002,0.4825
1999.02,1.743,0.9005
1999.03,0.835,0.457
1999.04,2.847,2.0695
1999.05,0.947,0.9
1999.06,1.293,1.6325
1999.07,1.4715,1.5565
1999.08,2.031,2.176333333
1999.09,0.626333333,0.785666667
1999.1,1.658333333,1.459333333
1999.11,1.788666667,1.143333333
1999.12,2.046333333,1.145666667
2000.01,1.25,0.831666667
2000.02,2.431333333,1.373
2000.03,2.770666667,1.622666667
2000.04,1.545333333,1.255
2000.05,1.580666667,1.929333333
2000.06,1.364333333,1.511
2000.07,1.010333333,1.109
2000.08,1.279333333,1.506333333
2000.09,1.662333333,1.740666667
2000.1,1.143666667,1.112333333
2000.11,1.241333333,0.788666667
2000.12,1.224,0.521
2001.01,3.735666667,1.496666667
2001.02,1.855666667,1.276
2001.03,0.800333333,0.491
2001.04,1.755,1.697333333
2001.05,0.939333333,0.943
2001.06,1.232,1.424666667
2001.07,1.258333333,1.477333333
2001.08,2.016,2.748
