date,par,uv
1998.01,28957.04251,0.038319938
1998.02,53034.38278,0.115124592
1998.03,47423.75284,0.252184567
1998.04,104062.2705,1.284181405
1998.05,112472.7772,2.063401309
1998.06,92634.80811,1.880972756
1998.07,108504.5455,2.165603097
1998.08,99300.9136,1.406729417
1998.09,82316.76033,0.600952369
1998.1,54682.66452,0.154952951
1998.11,24522.27088,0.027529033
1998.12,27713.01174,0.030662464
1999.01,29337.3163,0.037570132
1999.02,59466.35071,0.133592967
1999.03,71994.6538,0.408508412
1999.04,108407.8443,1.258653007
1999.05,116094.3305,2.16525482
1999.06,122223.3475,2.525377604
1999.07,121105.2226,2.497542925
1999.08,101268.9353,1.396458454
1999.09,85358.71329,0.664364504
1999.1,55191.51419,0.162327473
1999.11,29940.79028,0.03700405
1999.12,27373.45031,0.031845263
2000.01,37647.9936,0.04877427
2000.02,50583.30004,0.109726256
2000.03,61942.60642,0.348687911
2000.04,71708.49171,0.873535245
2000.05,91746.33571,1.613611328
2000.06,102242.1529,2.254372331
2000.07,105152.3048,2.018646757
2000.08,102333.3111,1.442846984
2000.09,88729.97584,0.654601042
2000.1,52807.68159,0.151448615
2000.11,31568.45786,0.043683482
2000.12,32370.4832,0.036581589
2001.01,24988.21414,0.030125925
2001.02,36746.42406,0.074428912
2001.03,65339.35364,0.309599868
2001.04,98232.73925,1.236181623
2001.05,103778.45,1.885079578
2001.06,115508.77,2.492885925
2001.07,112884.8696,2.233268066
2001.08,113564.5727,1.662508873
2001.09,93835.1397,0.739075755
2001.1,55844.51091,0.165873704
2001.11,29398.68732,0.036598094
2001.12,25384.92281,0.026660136
2002.01,20370.19594,0.022934245
2002.02,48276.11903,0.101110907
2002.03,59395.7153,0.312712655
2002.04,87508.66293,1.00838423
2002.05,92778.99743,1.718030663
2002.06,105838.8308,2.188913256
2002.07,118116.8745,2.371523146
2002.08,116274.9555,1.647947776
2002.09,98000.98488,0.765694129
2002.1,61256.21305,0.183186901
2002.11,30811.14721,0.040383278
2002.12,25393.31513,0.026428967
2003.01,42606.29892,0.058908212
2003.02,53228.94287,0.120809606
2003.03,63151.36637,0.352728482
2003.04,78691.36932,0.994879591
2003.05,87475.97226,1.523772779
2003.06,113327.2643,2.401448688
2003.07,102060.8187,1.999600516
2003.08,96778.7958,1.34069472
2003.09,81591.37227,0.593067454
2003.1,53328.53484,0.173007279
2003.11,36629.94108,0.052472005
2003.12,23827.85554,0.026623595
2004.01,39845.87931,0.055466087
2004.02,56680.3987,0.138855451
2004.03,54748.45672,0.322935879
2004.04,81614.75287,1.00204197
2004.05,91272.95328,1.679896964
2004.06,118753.8637,2.605642304
2004.07,97073.34019,1.855360378
2004.08,86223.40209,1.172052806
2004.09,90884.36068,0.684295008
2004.1,65114.43124,0.191356313
2004.11,28591.61969,0.036646165
2004.12,23178.86833,0.024209138
2005.01,36601.59018,0.051654938
2005.02,54033.59855,0.115591427
2005.03,80764.22457,0.483936269
2005.04,90378.95424,1.041155284
2005.05,87758.33931,1.473872872
2005.06,109822.4996,2.26046619
2005.07,112218.7785,2.306092231
2005.08,99755.57951,1.436555475
2005.09,85944.72755,0.705639295
2005.1,50708.94603,0.164355056
2005.11,31734.35117,0.037996125
2005.12,21255.17363,0.021872
2006.01,27202.88997,0.033491384
2006.02,37593.27018,0.078551629
2006.03,61553.55302,0.342445271
2006.04,86888.70595,1.091754221
2006.05,86331.1213,1.470715347
